        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2019-08-24 22:00:23 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            657   ,         36   ,                       15   ,                  11   ,                    4   ,                    41.3   ,                        13.8   ,              16   , 0.7060   ,               40.0   ,                  7168   ,
2019-08-24 22:00:24 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            655   ,         35   ,                       15   ,                  11   ,                    4   ,                    41.1   ,                        13.7   ,              16   , 0.7060   ,               39.8   ,                  7175   ,
2019-08-24 22:00:25 ,         645.0   ,            202.5   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            751   ,         41   ,                       16   ,                  11   ,                    2   ,                    44.4   ,                        14.8   ,              16   , 0.7060   ,               39.8   ,                  7177   ,
2019-08-24 22:00:26 ,         645.0   ,            202.5   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            741   ,         24   ,                        8   ,                   9   ,                    2   ,                    41.6   ,                        13.9   ,              16   , 0.7060   ,               39.1   ,                  7172   ,
2019-08-24 22:00:27 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            743   ,         17   ,                        7   ,                   9   ,                    3   ,                    40.6   ,                        13.5   ,              16   , 0.7060   ,               39.0   ,                  7176   ,
2019-08-24 22:00:28 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            750   ,         26   ,                       12   ,                  12   ,                    2   ,                    41.6   ,                        13.9   ,              16   , 0.7060   ,               38.9   ,                  7220   ,
2019-08-24 22:00:29 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            682   ,         35   ,                       15   ,                  11   ,                    4   ,                    42.1   ,                        14.0   ,              16   , 0.7060   ,               38.8   ,                  7218   ,
2019-08-24 22:00:30 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            668   ,         37   ,                       17   ,                  11   ,                    3   ,                    42.5   ,                        14.2   ,              16   , 0.7060   ,               38.8   ,                  7218   ,
2019-08-24 22:00:31 ,         450.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            667   ,         39   ,                       17   ,                  11   ,                    3   ,                    42.3   ,                        14.1   ,              16   , 0.7060   ,               38.8   ,                  7215   ,
2019-08-24 22:00:32 ,         450.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            667   ,         38   ,                       17   ,                  11   ,                    3   ,                    42.2   ,                        14.1   ,              16   , 0.7060   ,               38.9   ,                  7217   ,
2019-08-24 22:00:33 ,         450.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            667   ,         38   ,                       17   ,                  11   ,                    3   ,                    42.3   ,                        14.1   ,              16   , 0.7060   ,               38.8   ,                  7218   ,
2019-08-24 22:00:34 ,         450.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            668   ,         38   ,                       17   ,                  11   ,                    3   ,                    42.9   ,                        14.3   ,              16   , 0.7060   ,               38.8   ,                  7222   ,
2019-08-24 22:00:35 ,         435.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            668   ,         37   ,                       17   ,                  11   ,                    3   ,                    41.8   ,                        13.9   ,              16   , 0.7060   ,               38.6   ,                  7215   ,
2019-08-24 22:00:36 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            667   ,         34   ,                       16   ,                  11   ,                    3   ,                    40.8   ,                        13.6   ,              16   , 0.7060   ,               38.5   ,                  7211   ,
2019-08-24 22:00:37 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            667   ,         36   ,                       16   ,                  11   ,                    3   ,                    41.7   ,                        13.9   ,              16   , 0.7060   ,               38.5   ,                  7219   ,
2019-08-24 22:00:38 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            667   ,         39   ,                       17   ,                  11   ,                    3   ,                    42.0   ,                        14.0   ,              16   , 0.7060   ,               38.5   ,                  7186   ,
2019-08-24 22:00:39 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            667   ,         37   ,                       17   ,                  11   ,                    3   ,                    42.5   ,                        14.2   ,              16   , 0.7060   ,               38.5   ,                  7186   ,
2019-08-24 22:00:40 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            667   ,         38   ,                       17   ,                  11   ,                    3   ,                    42.0   ,                        14.0   ,              16   , 0.7060   ,               38.5   ,                  7186   ,
2019-08-24 22:00:41 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            668   ,         39   ,                       17   ,                  12   ,                    3   ,                    41.9   ,                        14.0   ,              16   , 0.7060   ,               38.5   ,                  7159   ,
2019-08-24 22:00:42 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            668   ,         37   ,                       17   ,                  11   ,                    3   ,                    41.8   ,                        13.9   ,              16   , 0.7060   ,               38.5   ,                  7158   ,
2019-08-24 22:00:43 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            668   ,         36   ,                       17   ,                  11   ,                    3   ,                    41.8   ,                        13.9   ,              16   , 0.7060   ,               38.5   ,                  7154   ,
2019-08-24 22:00:44 ,         420.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            657   ,         35   ,                       16   ,                  11   ,                    2   ,                    41.6   ,                        13.9   ,              16   , 0.7060   ,               38.8   ,                  7153   ,
2019-08-24 22:00:45 ,         495.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            686   ,         39   ,                       18   ,                  10   ,                    4   ,                    42.7   ,                        14.2   ,              16   , 0.7060   ,               38.9   ,                  7184   ,
2019-08-24 22:00:46 ,         495.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            681   ,         39   ,                       18   ,                  11   ,                    3   ,                    42.4   ,                        14.1   ,              16   , 0.7060   ,               38.9   ,                  7182   ,
2019-08-24 22:00:47 ,         525.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            678   ,         38   ,                       18   ,                  11   ,                    3   ,                    43.0   ,                        14.3   ,              16   , 0.7060   ,               38.9   ,                  7181   ,
2019-08-24 22:00:48 ,         540.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            669   ,         39   ,                       18   ,                  12   ,                    3   ,                    43.2   ,                        14.4   ,              16   , 0.7060   ,               39.3   ,                  7195   ,
2019-08-24 22:00:49 ,         585.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            680   ,         39   ,                       19   ,                  11   ,                    3   ,                    43.2   ,                        14.4   ,              16   , 0.7060   ,               39.1   ,                  7211   ,
2019-08-24 22:00:50 ,         585.0   ,            101.3   ,               53.0   ,                 0   ,                     0   ,                 0   ,                     0   ,            672   ,         39   ,                       19   ,                  12   ,                    3   ,                    43.3   ,                        14.4   ,              16   , 0.7060   ,               39.0   ,                  7202   ,
